"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum"
"1","C1, C2","2","22u/35V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"2","C3, C6","2","10n","Capacitor_SMD:C_0805_2012Metric","","",""
"3","C4","1","47n","Capacitor_SMD:C_0805_2012Metric","","",""
"4","C5, C11, C12","3","100n","Capacitor_SMD:C_0805_2012Metric","","",""
"5","C7","1","10u/35V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"6","C8","1","1u/35V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","",""
"7","C9","1","120p","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","","",""
"8","C10","1","1n","Capacitor_SMD:C_0805_2012Metric","","",""
"9","D1, D2, D3, D4","4","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","",""
"10","D5, D6","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G"
"11","D7","1","LED","LED_THT:LED_D3.0mm","","",""
"12","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939"
"13","J2, J3, J4, J5, J6, J7","6","AudioJack2_SwitchT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566"
"14","Q1","1","BC557","Package_TO_SOT_THT:TO-92_Inline_Wide","","Mouser","637-BC557B"
"15","Q2","1","BS170","Package_TO_SOT_THT:TO-92_Inline_Wide","","Mouser","512-BS170"
"16","Q3","1","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","","Mouser","637-BC547C"
"17","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","",""
"18","R3, R18, R34","3","10K","Resistor_SMD:R_0805_2012Metric","","",""
"19","R4, R6, R7, R9, R11, R14, R15, R19, R20, R21, R31, R32","12","100K","Resistor_SMD:R_0805_2012Metric","","",""
"20","R5, R25, R30, R33, R36, R40","6","1K","Resistor_SMD:R_0805_2012Metric","","",""
"21","R8","1","12K","Resistor_SMD:R_0805_2012Metric","","",""
"22","R10","1","8.2K","Resistor_SMD:R_0805_2012Metric","","",""
"23","R12","1","27K","Resistor_SMD:R_0805_2012Metric","","",""
"24","R13","1","820","Resistor_SMD:R_0805_2012Metric","","",""
"25","R16","1","2.7K","Resistor_SMD:R_0805_2012Metric","","",""
"26","R17, R23","2","200K","Resistor_SMD:R_0805_2012Metric","","",""
"27","R22","1","50K","Resistor_SMD:R_0805_2012Metric","","",""
"28","R24, R26","2","150K","Resistor_SMD:R_0805_2012Metric","","",""
"29","R27","1","22K","Resistor_SMD:R_0805_2012Metric","","",""
"30","R28, R37, R38","3","15K","Resistor_SMD:R_0805_2012Metric","","",""
"31","R29","1","1.5K","Resistor_SMD:R_0805_2012Metric","","",""
"32","R35","1","4.7K","Resistor_SMD:R_0805_2012Metric","","",""
"33","R39","1","47K","Resistor_SMD:R_0805_2012Metric","","",""
"34","RV1, RV3","2","B10K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-2969"
"35","RV2","1","B50K","Eurorack:Potentiometer_RV16AF-41-15R1","","Tayda","A-5401"
"36","RV4, RV7","2","50K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"37","RV5, RV6","2","10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","",""
"38","SW1","1","SW_DPDT_x2","Eurorack:Switch_DPDT_Tayda_A-5752","","Tayda","A-6809"
"39","U1","1","ICM7555xB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","968-ICM7555CBAZ-T"
"40","U2, U3","2","TL074","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","","Mouser","595-TL074CN"
